,output
0,92.79351079500688
1,89.73142222944347
2,89.73142222944347
3,92.30061787795907
4,92.30061787795907
5,72.22530204607513
6,66.65904587245213
7,82.23874635778769
8,84.87496977056215
9,105.20529125256076
10,113.76448856007659
11,140.16368008779372
12,161.90260973111162
13,142.23998281926148
14,149.09113934549094
15,157.2936189318884
16,136.6273789572225
17,140.024001287383
18,101.66899012198951
19,90.15728738223243
20,88.44924660094601
21,81.59367429010557
22,62.62176725922052
23,64.60003876495412
24,50.434273319434425
25,50.434273319434425
26,43.63643671995834
27,23.739356110822627
28,-1.2426920797496166
29,71.39787536443022
30,83.55465017186941
31,87.09095130244066
32,101.53298319644271
33,90.38512662225598
34,102.78185924626558
35,127.01275254081595
36,175.90836072530445
37,184.35622245131717
38,169.25623865027427
39,151.7446143476211
40,152.50059748039615
41,140.7024611126389
42,129.00235597061584
43,127.61942439227525
44,111.97595247154015
45,89.61212322423403
46,69.91849285090862
47,81.34261587357769
48,47.69904893099874
49,64.75604343940756
50,68.21527774921596
51,69.53559734790869
52,42.84671586333204
53,56.69782361455211
54,46.60005591461092
55,43.865801276102275
56,60.16280931926721
57,73.65719934936891
58,87.2509562155005
59,95.32910122842793
60,111.65178585457159
61,113.95784216958549
62,130.45830044856072
63,134.34339991115803
64,144.56487541981207
65,96.71778420167533
66,98.79408693314305
67,58.70722670477474
68,77.27086060023701
69,62.46236832200901
70,17.82599209781415
71,17.82599209781415
72,17.82599209781415
73,-2.004060747062681
74,-2.004060747062681
75,25.878460527762854
76,25.878460527762854
77,28.44778429929221
78,5.736245054633855
79,40.937848035296525
80,78.28719729629688
81,89.77834808322486
82,115.16008620186395
83,118.79441855816934
84,143.3015783012021
85,143.3015783012021
86,148.2175546812546
87,140.60599923763914
88,126.03521698555603
89,127.35553658424877
90,101.80432369100564
91,99.16810027823118
92,87.36996391047398
93,69.09468436157545
94,70.7415037479425
95,52.742490647526296
96,50.66618791605856
97,44.58623959693668
98,44.58623959693668
99,47.32491002005631
100,57.44393851836517
101,59.89425459492111
102,90.3570280836057
103,84.26702536253323
104,73.02113756261232
105,101.73984596722697
106,100.79795549823338
107,91.45013520703205
108,109.7048628031015
109,87.13288320624565
110,67.53728405865436
111,41.57012591651812
112,60.51544527053889
113,41.57012591651812
114,32.471984396934886
115,38.479153556891134
116,42.21436998605344
117,23.273466416643686
118,27.395068418103932
119,17.266297256687437
120,0.27294606066445226
121,-3.848655940795794
122,5.808198772812148
123,1.6865967713519012
124,15.176571016842587
125,60.17615129640404
126,78.83311630386106
127,81.00275014732357
128,106.45295981510161
129,103.71428939198196
130,152.5547894399103
131,167.46886590473466
132,167.46886590473466
133,144.50232100996158
134,139.36604938034213
135,72.30962543430378
136,55.32528196204683
137,55.32528196204683
138,56.271588215651434
139,64.32405664560017
140,47.42403656157185
141,65.42304966198802
142,58.11272840429501
143,-5.86201523501083
144,-5.86201523501083
145,1.927775431352842
146,1.927775431352842
147,1.927775431352842
148,-17.4258170580907
149,-20.129068235124038
150,-20.129068235124038
151,-20.129068235124038
152,-18.81316442104233
153,-18.91119564677649
154,-12.076599805175306
155,-24.379420594665334
156,85.63095290333717
157,86.36034835924791
158,36.54398238111975
159,36.54398238111975
160,15.398025722161208
161,15.398025722161208
162,15.398025722161208
163,-4.684962223193082
164,23.16213980554616
165,23.16213980554616
166,24.48245940423891
167,26.558762135706672
168,5.412805476748133
169,2.0471866080629013
170,-19.476039724843133
171,-19.476039724843133
172,-5.888318582746706
173,-5.230366675705824
174,-27.041947355175637
175,-27.041947355175637
176,-27.041947355175637
177,29.346336700968635
178,-2.9370250235304525
179,13.241399841071228
180,26.211180261368156
181,24.1658809913757
182,34.26364869131689
183,47.79804990665997
184,28.728395979169164
185,57.863474149087125
186,72.22530204607513
187,52.47702254894668
188,54.62035304467332
189,53.304449230591615
190,46.417873458275864
191,18.420760273087865
192,35.31636457250514
193,49.580161243758994
194,70.24640121842491
195,59.169988193108054
196,52.300708044762104
197,48.93508917607687
198,68.0047431035677
199,89.40037853414435
200,72.50035845011604
201,36.964349827869995
202,71.3034623310078
203,78.15931897097663
204,36.4044291465633
205,45.01681825781873
206,12.430886737101389
207,12.430886737101389
208,-11.800006557449024
209,-11.800006557449024
210,-15.85458079465036
211,-11.928756915530045
212,-6.362500741907041
213,-52.43597817740252
214,-52.43597817740252
215,-30.624397497932705
216,-30.624397497932705
217,-22.571929067983973
218,1.6899676880416905
219,7.225220400189414
220,25.853961341346945
221,119.6565735811731
222,81.36533385117914
223,85.38890462690523
224,107.25984095716353
225,107.25984095716353
226,101.75089159275169
227,61.290018019295246
228,62.605921833376954
229,71.38778571923642
230,48.19652979028538
231,44.83091092160015
232,59.65462827416073
233,64.69806999068828
234,55.51118929826538
235,57.58749202973314
236,57.58749202973314
237,64.23973325737151
238,41.04847732842049
239,17.199269492428584
240,38.85316690197925
241,54.432867387314815
242,55.09081929435567
243,55.15784705861455
244,55.15784705861455
245,83.31130790342591
246,70.09184871151085
247,79.94568903474071
248,61.91567247284928
249,73.89971617682507
250,55.15784705861455
251,68.94192704557575
252,94.5802516926289
253,66.60693781872378
254,72.70681132591761
255,60.599768658767545
256,49.07464241063332
257,153.18481111688868
258,129.61186972937912
259,133.56399695623531
260,118.64992049141097
261,118.64992049141097
262,97.24552461269016
263,77.26824000654041
264,90.32171705030883
265,106.83535156203924
266,145.44095259293638
267,184.8356011239292
268,178.85943542544825
269,193.09768363673714
270,212.14653833577688
271,213.5338856987285
272,207.30200550459426
273,192.59716772399344
274,185.26897011980586
275,185.26897011980586
276,170.03697963182253
277,130.22638585193658
278,113.54299223647375
279,97.58927840605006
280,162.2518562165864
281,162.2518562165864
282,162.2518562165864
283,160.93153661789364
284,141.45964527901523
285,185.2341577904423
286,251.7776935965272
287,251.11974168948632
288,113.33870513250618
289,112.68075322546531
290,111.36043362677258
291,114.16613181415109
292,85.39327548463632
293,37.681151975146975
294,52.15757178249743
295,69.17647143848541
296,50.08114092801591
297,45.42529482822769
298,-9.100340965283351
299,-9.100340965283351
300,18.96808764576079
301,34.76469892879018
302,23.196600473707548
303,23.196600473707548
304,-17.421860854098327
305,-17.421860854098327
306,-18.742180452791075
307,0.8071901589923982
308,16.773404339639626
309,46.45967979622657
310,68.36133525883176
311,84.31504908925545
312,85.63095290333717
313,108.29626361218774
314,96.77880947752391
315,94.70250674605614
316,107.92225026709961
317,99.55471169070911
318,101.63101442217688
319,102.9469182362586
320,99.59664359451409
321,99.59664359451409
322,69.61358679012216
323,85.4429660470758
324,70.80515603073381
325,67.44395294665965
326,69.48925221665209
327,69.48925221665209
328,58.34139564246536
329,60.51544527053889
330,87.0646479547048
331,132.343751011608
332,135.54976589181052
333,163.83523342356224
334,196.74832298880276
335,199.82558751092424
336,217.19765216577483
337,217.92263183707456
338,217.19765216577483
339,208.5154558950847
340,181.89360217476693
341,74.2706013160676
342,118.5177391208418
343,118.5177391208418
344,90.41492259644929
345,90.41492259644929
346,74.83522211111372
347,52.12368286645531
348,49.38501244333568
349,33.80531195800012
350,31.760012688007635
351,22.41219239680632
352,41.065901075404014
353,32.120318195590244
354,57.2898456302749
355,119.07932687004914
356,146.00579922816252
357,159.89546340172004
358,177.92547996361145
359,177.47073101675892
360,142.36245914809098
361,111.01285420919847
362,28.50015325740904
363,16.536661506262305
364,11.120416489088058
365,28.50015325740904
366,39.28687632586636
367,4.336287727117508
368,16.60838938426062
369,-13.25565972515787
370,-13.25565972515787
371,8.457889728577754
372,8.457889728577754
373,21.41866242510858
374,-3.131588677480835
375,24.246248175611953
376,19.17288491903676
377,55.7321564334477
378,125.63992199440453
379,200.94004858510675
380,200.94004858510675
381,225.52741232515356
382,236.96334090607363
383,139.24855453645264
384,147.05919354904185
385,140.56445835053438
386,123.67652616458744
387,135.58912631969335
388,127.96881042793372
389,115.64472884007601
390,115.08480815876932
391,92.86536423885948
392,92.76733301312532
393,64.94078293721516
394,80.02759050550289
395,79.92055155600262
396,63.40221693053283
397,72.59306279735362
398,71.8680831260539
399,86.21178740092535
400,97.38594732284797
401,133.66023997216269
402,141.5351820249018
403,153.01057613274685
404,167.16425368018517
405,184.44595922277196
406,180.25170618515983
407,153.50359717280844
408,164.92772019547755
409,148.69332413196048
410,131.73394839714365
411,105.1165104614369
412,70.77739795829913
413,38.30209317354627
414,36.25679390355381
415,-6.700743434874539
416,-5.9447603020995246
417,-3.8994610321070695
418,-1.1607906089874405
